Timestamp,Value,Type
11:52:00 PM.96,"Cloud Temperature: 27.30\r\n",received
11:52:02 PM.131,"Temperature: 27.30°C\r\n",received
11:52:02 PM.159,"Cloud Temperature: 27.30\r\n",received
11:52:04 PM.207,"Temperature: 27.30°C\r\n",received
11:52:04 PM.207,"Cloud Temperature: 27.30\r\n",received
11:52:06 PM.250,"Temperature: 27.30°C\r\n",received
11:52:06 PM.250,"Cloud Temperature: 27.30\r\n",received
11:52:08 PM.295,"Temperature: 27.20°C\r\n",received
11:52:08 PM.295,"Cloud Temperature: 27.20\r\n",received
11:52:10 PM.348,"Temperature: 27.20°C\r\n",received
11:52:10 PM.348,"Cloud Temperature: 27.20\r\n",received
11:52:12 PM.395,"Temperature: 27.20°C\r\n",received
11:52:12 PM.395,"Cloud Temperature: 27.20\r\n",received
11:52:14 PM.441,"Temperature: 27.20°C\r\n",received
11:52:14 PM.441,"Cloud Temperature: 27.20\r\n",received
11:52:16 PM.494,"Temperature: 27.20°C\r\n",received
11:52:16 PM.494,"Cloud Temperature: 27.20\r\n",received
11:52:18 PM.561,"Temperature: 27.20°C\r\n",received
11:52:18 PM.561,"Cloud Temperature: 27.20\r\n",received
11:52:20 PM.596,"Temperature: 27.20°C\r\n",received
11:52:20 PM.596,"Cloud Temperature: 27.20\r\n",received
11:52:22 PM.653,"Temperature: 27.20°C\r\n",received
11:52:22 PM.653,"Cloud Temperature: 27.20\r\n",received
11:52:24 PM.705,"Temperature: 27.20°C\r\n",received
11:52:24 PM.705,"Cloud Temperature: 27.20\r\n",received
11:52:26 PM.745,"Temperature: 27.20°C\r\n",received
11:52:26 PM.745,"Cloud Temperature: 27.20\r\n",received
11:52:28 PM.802,"Temperature: 27.20°C\r\n",received
11:52:28 PM.802,"Cloud Temperature: 27.20\r\n",received
11:52:30 PM.835,"Temperature: 27.20°C\r\n",received
11:52:30 PM.835,"Cloud Temperature: 27.20\r\n",received
11:52:32 PM.896,"Temperature: 27.20°C\r\n",received
11:52:32 PM.896,"Cloud Temperature: 27.20\r\n",received
11:52:34 PM.956,"Temperature: 27.20°C\r\n",received
11:52:34 PM.956,"Cloud Temperature: 27.20\r\n",received
11:52:36 PM.995,"Temperature: 27.20°C\r\n",received
11:52:36 PM.995,"Cloud Temperature: 27.20\r\n",received
11:52:39 PM.54,"Temperature: 27.20°C\r\n",received
11:52:39 PM.54,"Cloud Temperature: 27.20\r\n",received
